Scenario,Model,Tier,Type,Accuracy_Mean,Accuracy_Std,Precision_Mean,Precision_Std,Recall_Mean,Recall_Std,F1_Mean,F1_Std,F1_Macro_Mean,F1_Macro_Std,ROC_AUC_Mean,ROC_AUC_Std,Average_Precision_Mean,Average_Precision_Std,Fit_Time_Seconds
unbalanced,Aléatoire (Uniform),1. Baseline Aléatoire,Dummy / Random,0.476,0.038262252939418,0.30357142857142855,0.0374574588632197,0.5584946236559138,0.06153544644285325,0.3933172948409516,0.046659365264978034,0.46607333458085465,0.03947155289677257,0.5,0.0,0.304,0.004898979485566361,0.08
unbalanced,Zero-R (Majoritaire),2. Baseline Zero-R,Zero-Rule (Majority),0.6960000000000001,0.004898979485566361,0.0,0.0,0.0,0.0,0.0,0.0,0.4103724329968673,0.001705179076076005,0.5,0.0,0.304,0.004898979485566361,0.07
unbalanced,One-R (1 Règle),3. Baseline One-R,One-Rule (Decision Stump),0.8240000000000001,0.02870540018881462,0.725297619047619,0.05015212119911752,0.684731182795699,0.06538271049929746,0.7025539292804238,0.04540473427149243,0.7886834431860269,0.03270818430626674,0.7848086555800441,0.035157123903446275,0.5933687916026626,0.04672861320596945,0.08
unbalanced,Arbre de Décision (DT),4. Modèle Simple,Decision Tree,0.794,0.03720215047547654,0.6618327162682002,0.06590381586409792,0.6772043010752689,0.05931118856236801,0.6672513769821198,0.05128026139065087,0.7587373391862194,0.03916014259291813,0.8175615441127363,0.039828438721210925,0.6443531368385343,0.05614019938483497,0.08
unbalanced,Naïve Bayes (Bayi),4. Modèle Simple,Probabilistic / Bayesian,0.858,0.04019950248448357,0.7450395798593141,0.06795096926123063,0.8159139784946238,0.0525515014775982,0.7783283656234475,0.05886563072565735,0.8369133759067647,0.044628292408565855,0.9229710812796366,0.035186597786290366,0.8614488029459773,0.05788789032189285,0.07
unbalanced,K-Plus Proches Voisins (KNN),4. Modèle Simple,Instance-based (Lazy Learning),0.792,0.023999999999999997,0.8192513368983956,0.10223195685206067,0.421505376344086,0.0920043130388966,0.546481178396072,0.07397346572254054,0.7055512886442854,0.042469648970296425,0.8610797435383691,0.03774182263087657,0.7721434881533826,0.04218831222282234,0.11
unbalanced,SVM (Support Vector Machine),5. Modèle Linéaire & Noyau,Kernel / Margin Maximizer,0.868,0.030594117081556734,0.8380858416945374,0.05712458210773348,0.704516129032258,0.06550990883718406,0.7641241454356208,0.05562297441054325,0.8361825307207986,0.03817893910138187,0.9309266012155213,0.02265457335546934,0.8692955722400552,0.025902867301812627,0.13
unbalanced,Random Forest (RF / RM),6. Ensemble Learning (Bagging),Ensemble (Bagging),0.8619999999999999,0.007483314773547889,0.8503305518957692,0.02045555910627756,0.664516129032258,0.03725461201400472,0.7449448794536628,0.017971163122562993,0.825140689048796,0.010864387215233194,0.927665798437187,0.022809309457268275,0.862305346364568,0.03924896685699732,0.85
unbalanced,AdaBoost,6. Ensemble Learning (Boosting),Ensemble (Sequential Boosting),0.86,0.016733200530681523,0.8454209799861975,0.04820347748037053,0.664516129032258,0.02356777323492039,0.7432032886891473,0.02250006427033643,0.8234353798877369,0.01736898970909275,0.9248064516129032,0.026766501979234577,0.8707513377278419,0.027525712559572712,0.58
unbalanced,XGBoost,6. Ensemble Learning (Boosting),Extreme Gradient Boosting,0.8540000000000001,0.025768197453450235,0.7914572872294011,0.05244634324986954,0.7109677419354838,0.0542617764745296,0.7475892481443454,0.04108714829859006,0.8223850002613332,0.029651724000569705,0.9271516730114205,0.021005706946121885,0.8531624032834948,0.03280213152231466,0.57
unbalanced,Stacking Classifier,7. Méta-Ensemble (Stacking),Meta-Learning,0.868,0.02638181191654586,0.816056166056166,0.04073525135444418,0.7307526881720431,0.04951656684335889,0.7709093013070373,0.044969604505920836,0.839092240214093,0.03178762426903804,0.9364777933613839,0.0213052104747264,0.8840394912396732,0.031023642210372807,10.07
balanced,Aléatoire (Uniform),1. Baseline Aléatoire,Dummy / Random,0.476,0.038262252939418,0.30357142857142855,0.0374574588632197,0.5584946236559138,0.06153544644285325,0.3933172948409516,0.046659365264978034,0.46607333458085465,0.03947155289677257,0.5,0.0,0.304,0.004898979485566361,0.15
balanced,Zero-R (Majoritaire),2. Baseline Zero-R,Zero-Rule (Majority),0.6960000000000001,0.004898979485566361,0.0,0.0,0.0,0.0,0.0,0.0,0.4103724329968673,0.001705179076076005,0.5,0.0,0.304,0.004898979485566361,0.1
balanced,One-R (1 Règle),3. Baseline One-R,One-Rule (Decision Stump),0.788,0.054918120870983925,0.6583231707317074,0.10850830338563403,0.6369892473118279,0.14027474156721223,0.6415641829434933,0.11239335438270094,0.7448209208281821,0.07280915782355402,0.7450577706538435,0.07213041542443473,0.5378819171256228,0.0920813918716453,0.1
