Feature,Mutual Information,MI Normalized,Tree Gini Importance,Gini Normalized,Permutation Importance,Permutation Normalized,Correlation Magnitude,Correlation Normalized,Consensus Score
max_heart_rate_achieved,0.197,1.0,0.3011,1.0,0.1816,1.0,0.5798,1.0,1.0
exercise_induced_angina,0.086,0.4366,0.1174,0.3898,0.0304,0.1677,0.4464,0.7699,0.441
st_depression,0.0596,0.3025,0.0824,0.2737,0.0298,0.164,0.353,0.6089,0.3373
cholesterol_hdl_ratio,0.0593,0.3007,0.0637,0.2114,0.0023,0.0129,0.344,0.5933,0.2796
age,0.0452,0.2291,0.0422,0.1402,0.0202,0.1114,0.287,0.4951,0.244
ldl,0.033,0.1675,0.0343,0.1139,0.0092,0.0508,0.2631,0.4537,0.1965
hdl,0.0384,0.1951,0.0295,0.0978,0.0041,0.0226,0.2444,0.4216,0.1843
resting_bp_systolic,0.0315,0.1599,0.024,0.0796,0.0001,0.0006,0.2449,0.4224,0.1656
exercise_minutes_per_week,0.0243,0.1231,0.0253,0.084,0.0,0.0,0.2384,0.4112,0.1546
hba1c,0.026,0.132,0.0243,0.0805,0.0022,0.0122,0.2278,0.3928,0.1544
bmi,0.0231,0.1171,0.026,0.0863,0.0033,0.0184,0.2122,0.366,0.147
fasting_blood_sugar,0.0273,0.1386,0.0236,0.0784,0.0009,0.0049,0.2081,0.3589,0.1452
mean_arterial_pressure,0.0241,0.1222,0.0178,0.0592,0.0,0.0,0.2251,0.3882,0.1424
resting_bp_diastolic,0.0229,0.116,0.0138,0.0459,0.0003,0.0018,0.192,0.3312,0.1237
diet_quality_score,0.0168,0.0855,0.0203,0.0676,0.0002,0.0012,0.1554,0.268,0.1056
resting_heart_rate,0.0124,0.0628,0.0153,0.0509,0.0047,0.0257,0.1638,0.2826,0.1055
cholesterol_total,0.0045,0.0227,0.0177,0.0589,0.0018,0.0098,0.1656,0.2855,0.0942
pulse_pressure,0.0107,0.0542,0.0121,0.0403,0.0,0.0,0.144,0.2484,0.0857
daily_steps,0.0038,0.0193,0.0177,0.0587,0.0026,0.0141,0.1393,0.2402,0.0831
chest_pain_type_Typical Angina,0.0107,0.0545,0.0068,0.0226,0.0052,0.0288,0.1287,0.2219,0.082
triglycerides,0.0087,0.0443,0.0158,0.0524,0.0006,0.0031,0.1145,0.1974,0.0743
smoker_status_Never,0.0005,0.0027,0.0053,0.0177,0.0057,0.0312,0.1249,0.2154,0.0668
stress_score,0.0,0.0,0.0188,0.0625,0.0011,0.0061,0.1011,0.1744,0.0608
sex_Male,0.0022,0.011,0.0039,0.0129,0.001,0.0055,0.1184,0.2042,0.0584
family_history,0.0031,0.0155,0.0031,0.0104,0.0001,0.0006,0.0748,0.1291,0.0389
wearable_owner,0.0,0.0,0.0019,0.0062,0.0,0.0,0.0846,0.1459,0.038
sleep_hours,0.002,0.0103,0.0151,0.0502,0.0009,0.0049,0.0483,0.0833,0.0372
chest_pain_type_Atypical Angina,0.0042,0.0214,0.0021,0.0069,0.0027,0.0147,0.0493,0.0849,0.032
alcohol_units_per_week,0.0,0.0002,0.0154,0.051,0.0,0.0,0.0418,0.0721,0.0308
chest_pain_type_Non-Anginal Pain,0.0,0.0,0.0016,0.0052,0.0,0.0,0.0183,0.0315,0.0092
smoker_status_Former,0.0,0.0,0.0018,0.0059,0.0017,0.0092,0.0038,0.0066,0.0054
